Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH,Crystallization_Method_Clean,Component_1_Name_Clean,Component_1_Conc_Normalized,Conc_Unit,Combined_Text,Method_Encoded,Component_Encoded,Temp (K)_scaled,pH_scaled,Matthews Coefficient_scaled,Percent Solvent Content_scaled
9F4G,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.06,40.42,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5747274714636929,-0.5023529588271424
9F4H,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.8,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.45139722269654653
9F4J,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.76,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.4567609843945039
9F4L,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.85,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.444692520574099
9F4N,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.9,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.4379878184516525
9F4O,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.68,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5435305655109878,-0.46748850779041873
9F4P,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.84,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.44603346099858815
9F4Q,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.66,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5435305655109878,-0.4701703886393979
9F4S,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.56,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5435305655109878,-0.4835797928842909
9F4T,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.75,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.45810192481899303
9F4U,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.81,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.45005628227205646
9F4V,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.61,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5435305655109878,-0.4768750907618444
9F4Y,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5435305655109878,-0.4728522694883761
9F5C,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.08,40.83,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5123336595582814,-0.4473744014230782
9F5E,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.67,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5435305655109878,-0.46882944821490785
9F5F,"VAPOR DIFFUSION, SITTING DROP",289.0,8.5,2.07,40.64,TRIS-HCL,0.1 M,8.5,"VAPOR DIFFUSION, SITTING DROP",TRIS-HCL,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] TRIS-HCL",13,2254,-0.3803786313135497,1.16057046377581,-0.5435305655109878,-0.4728522694883761
8J81,"VAPOR DIFFUSION, SITTING DROP",293.0,4.5,2.51,50.97,SODIUM ACETATE TRIHYDRATE,1M,4.5,"VAPOR DIFFUSION, SITTING DROP",SODIUM ACETATE TRIHYDRATE,0.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] SODIUM ACETATE TRIHYDRATE",13,2019,0.28525260140101494,-1.5677986909481143,0.8291332964080623,0.9123391890091532
8OSV,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,100 mM,7.5,VAPOR DIFFUSION,HEPES,-1.0,MM,VAPOR DIFFUSION [SEP] HEPES,11,923,-0.04756301495626737,0.47847817509482904,1.0787085440297082,1.1175030739560285
8OSZ,VAPOR DIFFUSION,291.0,7.5,2.59,52.5,HEPES,100 mM,7.5,VAPOR DIFFUSION,HEPES,-1.0,MM,VAPOR DIFFUSION [SEP] HEPES,11,923,-0.04756301495626737,0.47847817509482904,1.0787085440297082,1.1175030739560285
8OTK,"VAPOR DIFFUSION, SITTING DROP",289.15,4.5,2.25,45.35,LITHIUM SULFATE,0.2M,4.5,"VAPOR DIFFUSION, SITTING DROP",LITHIUM SULFATE,-0.6989700043360187,M,"VAPOR DIFFUSION, SITTING DROP [SEP] LITHIUM SULFATE",13,1061,-0.3554174600867573,-1.5677986909481143,0.018013741637715106,0.15873067044612196
8OTP,"VAPOR DIFFUSION, HANGING DROP",296.0,7.68,2.1,41.49,SODIUM CITRATE,1.5 M,7.68,"VAPOR DIFFUSION, HANGING DROP",SODIUM CITRATE,0.17609125905568124,M,"VAPOR DIFFUSION, HANGING DROP [SEP] SODIUM CITRATE",12,2047,0.7844760259369384,0.6012547870574054,-0.44993984765287,-0.35887233340677865
8OUB,"VAPOR DIFFUSION, HANGING DROP",296.0,8.3,2.11,41.81,SODIUM CITRATE,1.5 M,8.3,"VAPOR DIFFUSION, HANGING DROP",SODIUM CITRATE,0.17609125905568124,M,"VAPOR DIFFUSION, HANGING DROP [SEP] SODIUM CITRATE",12,2047,0.7844760259369384,1.0241520060396143,-0.41874294170016496,-0.31596223982311844
8P5B,"VAPOR DIFFUSION, SITTING DROP",293.0,6.1,2.6,52.68,"SODIUM FORMATE 0.1M AMMONIUM 
ACETATE 0.1M SODIUM CITRATE TRIBASIC 
DIHYDRATE 0.1M POTASSIUM SODIUM TARTRATE 
TETRAHYDRATE 0.1M SODIUM OXAMATE",0.1 M,6.1,"VAPOR DIFFUSION, SITTING DROP",SODIUM FORMATE 0.1M AMMONIUM ACETATE 0.1M SODIUM CITRATE TRIBASIC DIHYDRATE 0.1M POTASSIUM SODIUM TARTRATE TETRAHYDRATE 0.1M SODIUM OXAMATE,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] SODIUM FORMATE 0.1M AMMONIUM ACETATE 0.1M SODIUM CITRATE TRIBASIC DIHYDRATE 0.1M POTASSIUM SODIUM TARTRATE TETRAHYDRATE 0.1M SODIUM OXAMATE",13,2085,0.28525260140101494,-0.47645102905854475,1.1099054499824146,1.1416400015968373
8QCU,"VAPOR DIFFUSION, SITTING DROP",290.15,4.5,2.13,42.38,HEWL,,4.5,"VAPOR DIFFUSION, SITTING DROP",HEWL,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, SITTING DROP [SEP] HEWL",13,967,-0.18900965190811614,-1.5677986909481143,-0.3563491297947535,-0.23952863562722373
8QMH,"VAPOR DIFFUSION, SITTING DROP",292.0,6.0,1.92,35.78,NACL,0.08 M,6.0,"VAPOR DIFFUSION, SITTING DROP",NACL,-1.0969100130080565,M,"VAPOR DIFFUSION, SITTING DROP [SEP] NACL",13,1317,0.11884479322237378,-0.5446602579266426,-1.011484154801573,-1.1245493157902147
8SH6,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.15,42.8,CHES,100 mM,9.5,"VAPOR DIFFUSION, SITTING DROP",CHES,-1.0,MM,"VAPOR DIFFUSION, SITTING DROP [SEP] CHES",13,719,0.11884479322237378,1.8426627524567911,-0.2939553178893421,-0.1832091377986705
8SH8,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.08,40.97,CHES,100 mM,9.5,"VAPOR DIFFUSION, SITTING DROP",CHES,-1.0,MM,"VAPOR DIFFUSION, SITTING DROP [SEP] CHES",13,719,0.11884479322237378,1.8426627524567911,-0.5123336595582814,-0.4286012354802268
8VFL,"VAPOR DIFFUSION, HANGING DROP",298.0,6.6,2.23,44.86,24-30% PEG 4000,,6.6,"VAPOR DIFFUSION, HANGING DROP",24-30% PEG 4000,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, HANGING DROP [SEP] 24-30% PEG 4000",12,333,1.1172916422942207,-0.13540488471805417,-0.04438007026769633,0.09302458964614208
8VFN,"VAPOR DIFFUSION, HANGING DROP",298.0,6.2,2.23,44.82,24-30% PEG 4000,,6.2,"VAPOR DIFFUSION, HANGING DROP",24-30% PEG 4000,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, HANGING DROP [SEP] 24-30% PEG 4000",12,333,1.1172916422942207,-0.40824180019044626,-0.04438007026769633,0.08766082794818468
8VFO,"VAPOR DIFFUSION, HANGING DROP",298.0,6.7,1.99,38.22,20-28% PEG 4000,,6.7,"VAPOR DIFFUSION, HANGING DROP",20-28% PEG 4000,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, HANGING DROP [SEP] 20-28% PEG 4000",12,295,1.1172916422942207,-0.06719565584995571,-0.7931058131326328,-0.7973598522148063
8VFW,"VAPOR DIFFUSION, HANGING DROP",298.0,6.94,2.34,47.35,26-32% PEG 4000,,6.94,"VAPOR DIFFUSION, HANGING DROP",26-32% PEG 4000,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, HANGING DROP [SEP] 26-32% PEG 4000",12,354,1.1172916422942207,0.09650649343347989,0.2987858952120659,0.426918755343998
8VG7,"VAPOR DIFFUSION, HANGING DROP",298.0,7.74,2.11,41.76,28-30% PEG 4000,,7.74,"VAPOR DIFFUSION, HANGING DROP",28-30% PEG 4000,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, HANGING DROP [SEP] 28-30% PEG 4000",12,359,1.1172916422942207,0.6421803243782647,-0.41874294170016496,-0.3226669419455659
8VG8,"VAPOR DIFFUSION, HANGING DROP",298.0,6.14,2.1,41.4,28-30% PEG 4000,,6.14,"VAPOR DIFFUSION, HANGING DROP",28-30% PEG 4000,-0.6989700043360187,UNKNOWN,"VAPOR DIFFUSION, HANGING DROP [SEP] 28-30% PEG 4000",12,359,1.1172916422942207,-0.44916733751130544,-0.44993984765287,-0.37094079722718354
8XIF,"VAPOR DIFFUSION, SITTING DROP",290.0,7.58,2.12,42.04,MAGNESIUM FORMATE DIHYDRATE,0.1 M,7.58,"VAPOR DIFFUSION, SITTING DROP",MAGNESIUM FORMATE DIHYDRATE,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MAGNESIUM FORMATE DIHYDRATE",13,1109,-0.21397082313490853,0.5330455581893075,-0.38754603574745855,-0.2851206100598631
9AZX,"VAPOR DIFFUSION, HANGING DROP",293.0,8.0,2.19,44.0,TRIS-HCL,100 mM,8.0,"VAPOR DIFFUSION, HANGING DROP",TRIS-HCL,-1.0,MM,"VAPOR DIFFUSION, HANGING DROP [SEP] TRIS-HCL",12,2254,0.28525260140101494,0.8195243194353196,-0.1691676940785192,-0.022296286859944524
9BHS,"VAPOR DIFFUSION, SITTING DROP",291.0,6.9,2.17,43.33,PEG2000 MONOETHYL ETHER,30%,6.9,"VAPOR DIFFUSION, SITTING DROP",PEG2000 MONOETHYL ETHER,0.47712125471966244,%,"VAPOR DIFFUSION, SITTING DROP [SEP] PEG2000 MONOETHYL ETHER",13,1566,-0.04756301495626737,0.06922280188624062,-0.23156150598393063,-0.11213929530073322
9EN6,"VAPOR DIFFUSION, SITTING DROP",292.0,6.5,1.65,25.27,MAGNESIUM ACETATE TETRAHYDRATE,0.08M,6.5,"VAPOR DIFFUSION, SITTING DROP",MAGNESIUM ACETATE TETRAHYDRATE,-1.0969100130080565,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MAGNESIUM ACETATE TETRAHYDRATE",13,1089,0.11884479322237378,-0.20361411358615206,-1.8538006155246265,-2.5338777019285534
7H2T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.45477042497559517,0.5797859637357874
7H2U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5569899765194677
7H2V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.45477042497559517,0.57442220203783
7H2W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.4,48.66,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.4859673309283002,0.6025819509521061
7H2X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.45477042497559517,0.57442220203783
7H2Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.61,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.45477042497559517,0.5958772488296595
7H2Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5569899765194677
7H30,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.41,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5690584403398716
7H32,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.27,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.7043456725972409,0.8184733592948972
7H33,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.35,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.561012797792936
7H34,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.98,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.3611797071174773,0.5113980020868283
7H36,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.45477042497559517,0.5797859637357874
7H37,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.23,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5449215126990627
7H38,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.15,42.88,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,-0.2939553178893421,-0.17248161440275475
7H39,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.23,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.7043456725972409,0.8131095975969388
7H3A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.05,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,-0.2627584119366357,-0.149685627186436
7H3B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.39237661307018373,0.520784585058254
7H3C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5650356190664042
7H3D,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.18,43.46,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,-0.20036460003122422,-0.09470706978237092
7H3E,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.48,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.45477042497559517,0.5784450233112973
7H3G,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5650356190664042
7H3H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.46,50.1,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.6731487666445345,0.7956773720785775
7H3I,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5636946786419141
7H3J,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5636946786419141
7H3K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5569899765194677
7H3L,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.39237661307018373,0.520784585058254
7H3M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.14,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,-0.2627584119366357,-0.13761716336603114
7H3N,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.84,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.3611797071174773,0.49262483614397784
7H3Q,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.43,MES,0.1 M,6.05,"VAPOR DIFFUSION, SITTING DROP",MES,-1.0,M,"VAPOR DIFFUSION, SITTING DROP [SEP] MES",13,1135,0.3102137726278073,-0.5105556434925936,0.42357351902288876,0.5717403211888508
