Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH,Temp_pH_interaction,Matthews_Solvent_interaction,pH_diff,Solvent_Matthews_ratio,Temp_Category,pH_Category
8VFN,"VAPOR DIFFUSION, HANGING DROP",298.0,6.171428571428572,2.23,44.82,24-30% PEG 4000,1.5868538212739107,6.171428571428572,1839.0857142857144,99.9486,0.0,20.098645695674573,High,Neutral
8VFO,"VAPOR DIFFUSION, HANGING DROP",298.0,6.357142857142857,1.99,38.22,20-28% PEG 4000,1.7165536066138847,6.357142857142857,1894.4285714285713,76.0578,0.0,19.206020499487188,High,Neutral
8VFW,"VAPOR DIFFUSION, HANGING DROP",298.0,6.092792784609034,2.34,47.35,26-32% PEG 4000,1.537177279541515,6.092792784609034,1815.652249813492,110.79899999999999,0.0,20.235034087592272,High,Neutral
8VG7,"VAPOR DIFFUSION, HANGING DROP",298.0,6.642857142857143,2.11,41.76,28-30% PEG 4000,1.6436950863096431,6.642857142857143,1979.5714285714287,88.11359999999999,0.0,19.79145981447402,High,Neutral
8VG8,"VAPOR DIFFUSION, HANGING DROP",298.0,6.5,2.1,41.4,28-30% PEG 4000,1.6520772236074315,6.5,1937.0,86.94,0.0,19.71427632653508,High,Neutral
8XIF,"VAPOR DIFFUSION, SITTING DROP",290.0,7.751522697192933,2.12,42.04,MAGNESIUM FORMATE DIHYDRATE,0.1,7.751522697192933,2247.9415821859507,89.12480000000001,0.0,19.830179325387107,Medium,Neutral
9AZX,"VAPOR DIFFUSION, HANGING DROP",293.0,8.0,2.19,44.0,TRIS-HCL,0.1,8.0,2344.0,96.36,0.0,20.091315026796792,Medium,Neutral
9BHS,"VAPOR DIFFUSION, SITTING DROP",291.0,6.6571428571428575,2.17,43.33,PEG2000 MONOETHYL ETHER,3.0,6.6571428571428575,1937.2285714285715,94.0261,0.0,19.967732733763714,Medium,Neutral
9EN6,"VAPOR DIFFUSION, SITTING DROP",292.0,6.5,1.65,25.27,MAGNESIUM ACETATE TETRAHYDRATE,0.08,6.5,1898.0,41.695499999999996,0.0,15.315142233247133,Medium,Neutral
7H2T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1,6.05,1773.5575,115.89110000000001,0.0,20.288694439876803,Medium,Neutral
7H2U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1,6.05,1773.5575,115.0016,0.0,20.302512477935934,Medium,Neutral
7H2V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1,6.05,1773.5575,115.79550000000002,0.0,20.27195804520584,Medium,Neutral
7H2W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.4,48.66,MES,0.1,6.05,1773.5575,116.78399999999999,0.0,20.274991552086853,Medium,Neutral
7H2X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1,6.05,1773.5575,115.79550000000002,0.0,20.27195804520584,Medium,Neutral
7H2Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.61,MES,0.1,6.05,1773.5575,116.17790000000001,0.0,20.338903623889696,Medium,Neutral
7H2Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1,6.05,1773.5575,115.0016,0.0,20.302512477935934,Medium,Neutral
7H30,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.41,MES,0.1,6.05,1773.5575,115.21579999999999,0.0,20.34032758809765,Medium,Neutral
7H32,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.27,MES,0.1,6.05,1773.5575,124.16690000000001,0.0,20.352218480883206,Medium,Neutral
7H33,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.35,MES,0.1,6.05,1773.5575,115.073,0.0,20.315117514656507,Medium,Neutral
7H34,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.98,MES,0.1,6.05,1773.5575,113.23279999999998,0.0,20.330499859957683,Medium,Neutral
7H36,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1,6.05,1773.5575,115.89110000000001,0.0,20.288694439876803,Medium,Neutral
7H37,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.23,MES,0.1,6.05,1773.5575,114.78739999999999,0.0,20.264697367774215,Medium,Neutral
7H38,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.15,42.88,MES,0.1,6.05,1773.5575,92.19200000000001,0.0,19.94417677015034,Medium,Neutral
7H39,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.23,MES,0.1,6.05,1773.5575,124.0681,0.0,20.336024155455803,Medium,Neutral
7H3A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.05,MES,0.1,6.05,1773.5575,92.988,0.0,19.93054632845077,Medium,Neutral
7H3B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,0.1,6.05,1773.5575,113.8785,0.0,20.27425304883837,Medium,Neutral
7H3C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,0.1,6.05,1773.5575,115.1444,0.0,20.32772255137708,Medium,Neutral
7H3D,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.18,43.46,MES,0.1,6.05,1773.5575,94.7428,0.0,19.935770671664827,Medium,Neutral
7H3E,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.48,MES,0.1,6.05,1773.5575,115.8672,0.0,20.28451034120906,Medium,Neutral
7H3G,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,0.1,6.05,1773.5575,115.1444,0.0,20.32772255137708,Medium,Neutral
7H3H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.46,50.1,MES,0.1,6.05,1773.5575,123.246,0.0,20.36584537973765,Medium,Neutral
7H3I,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1,6.05,1773.5575,115.12059999999998,0.0,20.32352087247022,Medium,Neutral
7H3J,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1,6.05,1773.5575,115.12059999999998,0.0,20.32352087247022,Medium,Neutral
7H3K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1,6.05,1773.5575,115.0016,0.0,20.302512477935934,Medium,Neutral
7H3L,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,0.1,6.05,1773.5575,113.8785,0.0,20.27425304883837,Medium,Neutral
7H3M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.14,MES,0.1,6.05,1773.5575,93.1824,0.0,19.972212975827322,Medium,Neutral
7H3N,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.84,MES,0.1,6.05,1773.5575,112.9024,0.0,20.271177851195826,Medium,Neutral
7H3Q,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.43,MES,0.1,6.05,1773.5575,115.26339999999999,0.0,20.348730945911367,Medium,Neutral
7H3R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1,6.05,1773.5575,115.89110000000001,0.0,20.288694439876803,Medium,Neutral
7H3S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.54,MES,0.1,6.05,1773.5575,116.01060000000001,0.0,20.309614933215506,Medium,Neutral
7H3T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.6,MES,0.1,6.05,1773.5575,116.15400000000001,0.0,20.334719525221953,Medium,Neutral
7H3U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.1,MES,0.1,6.05,1773.5575,93.096,0.0,19.95369446588219,Medium,Neutral
7H3V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.97,MES,0.1,6.05,1773.5575,113.2092,0.0,20.32626257361755,Medium,Neutral
7H3W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.41,48.94,MES,0.1,6.05,1773.5575,117.9454,0.0,20.307045515748744,Medium,Neutral
7H3X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.17,43.34,MES,0.1,6.05,1773.5575,94.04780000000001,0.0,19.972341026570955,Medium,Neutral
7H3Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.5,MES,0.1,6.05,1773.5575,115.915,0.0,20.292878538544542,Medium,Neutral
7H3Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.36,MES,0.1,6.05,1773.5575,115.09679999999999,0.0,20.319319193563363,Medium,Neutral
7H40,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1,6.05,1773.5575,115.12059999999998,0.0,20.32352087247022,Medium,Neutral
7H42,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.59,MES,0.1,6.05,1773.5575,116.13010000000001,0.0,20.330535426554214,Medium,Neutral
7H43,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.48,MES,0.1,6.05,1773.5575,115.8672,0.0,20.28451034120906,Medium,Neutral
7H44,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.5,50.83,MES,0.1,6.05,1773.5575,127.07499999999999,0.0,20.33199186720325,Medium,Neutral
7H45,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.59,MES,0.1,6.05,1773.5575,116.13010000000001,0.0,20.330535426554214,Medium,Neutral
7H47,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1,6.05,1773.5575,115.79550000000002,0.0,20.27195804520584,Medium,Neutral
7H48,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.92,MES,0.1,6.05,1773.5575,113.0912,0.0,20.30507614191689,Medium,Neutral
7H4A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.08,MES,0.1,6.05,1773.5575,113.9496,0.0,20.286911271345453,Medium,Neutral
7H4B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.82,MES,0.1,6.05,1773.5575,112.8552,0.0,20.26270327851556,Medium,Neutral
7H4C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.15,42.81,MES,0.1,6.05,1773.5575,92.0415,0.0,19.91161864575877,Medium,Neutral
7H4F,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,0.1,6.05,1773.5575,114.0918,0.0,20.31222771635961,Medium,Neutral
7H4H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.9,MES,0.1,6.05,1773.5575,113.044,0.0,20.29660156923662,Medium,Neutral
7H4K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.21,44.24,MES,0.1,6.05,1773.5575,97.77040000000001,0.0,20.018090489551813,Medium,Neutral
7H4M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.12,41.95,MES,0.1,6.05,1773.5575,88.93400000000001,0.0,19.78772651522334,Medium,Neutral
7H4P,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.13,MES,0.1,6.05,1773.5575,114.06810000000002,0.0,20.308008308857254,Medium,Neutral
7H4R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,0.1,6.05,1773.5575,114.0918,0.0,20.31222771635961,Medium,Neutral
7H4S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.28,MES,0.1,6.05,1773.5575,114.90639999999999,0.0,20.285705762308503,Medium,Neutral
7H50,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,0.1,6.05,1773.5575,114.0918,0.0,20.31222771635961,Medium,Neutral
7H51,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.4,MES,0.1,6.05,1773.5575,115.192,0.0,20.336125909190795,Medium,Neutral
7H52,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.06,MES,0.1,6.05,1773.5575,113.90220000000001,0.0,20.278472456340733,Medium,Neutral
7H53,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.22,MES,0.1,6.05,1773.5575,114.7636,0.0,20.26049568886736,Medium,Neutral
7H54,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.16,MES,0.1,6.05,1773.5575,114.1392,0.0,20.320666531364328,Medium,Neutral
7H55,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.17,MES,0.1,6.05,1773.5575,114.16290000000001,0.0,20.32488593886669,Medium,Neutral
8I0J,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,2.21,44.26,PACT G10 20% W/V PEG3350;100MM BIS-TRIS PROPANE,1.422237506853059,7.5,2183.625,97.8146,0.0,20.02714025921255,Medium,Neutral
8I12,"VAPOR DIFFUSION, HANGING DROP",291.0,6.5,2.02,39.0,JCSG4-60 0.1 M HEPES,1.531844157168062,6.5,1891.5,78.78,0.0,19.306921135187554,Medium,Neutral
8J3Y,"VAPOR DIFFUSION, SITTING DROP",283.0,7.301106440759747,2.39,48.62,MAGNESIUM CHLORIDE,0.2,7.301106440759747,2066.2131227350083,116.2018,0.0,20.343087722557435,Medium,Neutral
8J5H,"VAPOR DIFFUSION, SITTING DROP",293.0,6.687084131228693,2.08,40.97,CITRATE,0.03,6.687084131228693,1959.315650450007,85.2176,0.0,19.697105914852923,Medium,Neutral
8OKG,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.85,SODIUM CITRATE,1.6,7.8,2269.7999999999997,84.968,0.0,19.639413634897288,Medium,Neutral
8TN6,"VAPOR DIFFUSION, HANGING DROP",298.0,6.652770367646478,2.5,50.73,AMMONIUM SULFATE,2.0,6.652770367646478,1982.5255695586504,126.82499999999999,0.0,20.291991883203245,High,Neutral
8TNB,"VAPOR DIFFUSION, HANGING DROP",298.0,6.857142857142857,2.44,49.62,AMMONIUM SULFATE,2.0,6.857142857142857,2043.4285714285713,121.07279999999999,0.0,20.3360572393208,High,Neutral
8TNC,"VAPOR DIFFUSION, HANGING DROP",298.0,6.257142857142857,2.5,50.88,AMMONIUM SULFATE,2.0,6.257142857142857,1864.6285714285714,127.2,0.0,20.351991859203256,High,Neutral
8TND,"VAPOR DIFFUSION, HANGING DROP",298.0,6.212280514121267,2.47,50.28,AMMONIUM SULFATE,2.0,6.212280514121267,1851.2595932081376,124.19160000000001,0.0,20.356267062240054,High,Neutral
8YLA,"VAPOR DIFFUSION, HANGING DROP",289.0,6.154197069617325,2.05,40.02,MAGNESIUM FORMATE AND 20% W/V PEG3350,0.2,6.154197069617325,1778.562953119407,82.041,0.0,19.52194169661381,Medium,Neutral
8YTS,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5,2.35,46.261428571428574,CITRIC ACID,0.1,3.5,1008.0,108.71435714285715,0.0,19.685705908818154,Medium,Acidic
8YU5,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5,2.2,44.03,HEPES,0.1,3.5,1008.0,96.86600000000001,0.0,20.013627266533057,Medium,Acidic
9ART,"VAPOR DIFFUSION, SITTING DROP",298.0,6.857142857142857,2.05,40.04,HEPES,0.1,7.5,2043.4285714285713,82.082,-0.6428571428571432,19.531697789415713,High,Neutral
8FKC,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,2.19,43.93,AMMONIUM SULFATE,0.2,6.5,1904.5,96.2067,0.0,20.05935157107234,Medium,Neutral
8G90,"VAPOR DIFFUSION, HANGING DROP",294.0,7.0440361930771385,1.86,33.77,BIS-TRIS,0.1,6.5,2070.9466407646787,62.81220000000001,0.5440361930771385,18.1559042172558,Medium,Neutral
8G91,"VAPOR DIFFUSION, HANGING DROP",294.0,6.966705742680181,2.38,48.27,AMMONIUM ACETATE,0.1,6.966705742680181,2048.211488347973,114.8826,0.0,20.281504083401646,Medium,Neutral
8GC6,"VAPOR DIFFUSION, SITTING DROP",298.0,7.903367162865167,2.25,45.4,SODIUM/POTASSIUM PHOSPHATE,1.0,7.903367162865167,2355.20341453382,102.14999999999999,0.0,20.177768809880526,High,Neutral
8GF3,"VAPOR DIFFUSION, SITTING DROP",293.0,8.0,2.5,50.86,SODIUM FORMATE,4.0,8.0,2344.0,127.15,0.0,20.343991862403254,Medium,Neutral
8JOR,"VAPOR DIFFUSION, HANGING DROP",293.0,6.8,2.3,46.56,PEG 3350,2.1,6.8,1992.3999999999999,107.088,0.0,20.243469459361105,Medium,Neutral
8K4I,"VAPOR DIFFUSION, HANGING DROP",291.15,7.499849074963304,2.1,41.53,PEG3350,2.0,7.499849074963304,2183.581058175566,87.21300000000001,0.0,19.7761810589614,Medium,Neutral
8QJZ,VAPOR DIFFUSION,293.0,7.5,2.97,58.57,"MORPHEUS III (G7)
1.2 % CHOLIC ACID DERIVATIVES MIX 
0.1 M BUFFER SYSTEM 2 7.5 
50 % PRECIPITANT MIX 3",1.1816699709287617,7.5,2197.5,173.9529,0.0,19.720532080628928,Medium,Neutral
8RHR,"VAPOR DIFFUSION, SITTING DROP",291.2,6.898125940047507,2.54,51.54,1 UL OF PROTEIN SOLUTION (10 UG/UL) WAS MIXED WITH 1 UL RESERVOIR SOLUTION (0.17 M AMMONIUM SULFATE,1.283697584229241,6.898125940047507,2008.734273741834,130.9116,0.0,20.291330593964332,Medium,Neutral
8RUE,"VAPOR DIFFUSION, HANGING DROP",292.0,9.0,2.56,52.01,PEG 3350,2.2,9.0,2628.0,133.1456,0.0,20.316398313906905,Medium,Basic
8T41,"VAPOR DIFFUSION, SITTING DROP",293.0,8.5,2.43,49.45,PEG3350,2.5,8.5,2490.5,120.16350000000001,0.0,20.34978586428565,Medium,Basic
8VAW,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.19,43.78,SODIUM CHLORIDE,2.5,7.5,2197.5,95.8782,0.0,19.990858451662806,Medium,Neutral
8VAX,"VAPOR DIFFUSION, SITTING DROP",293.0,8.5,2.2,44.06,W/V 1,3.5,8.5,2490.5,96.93200000000002,0.0,20.027263623971077,Medium,Basic
9BCB,"VAPOR DIFFUSION, SITTING DROP",293.0,5.0,2.07,40.72,SODIUM MALONATE,0.2,5.0,1465.0,84.29039999999999,0.0,19.671488081406725,Medium,Acidic
8IZC,"VAPOR DIFFUSION, HANGING DROP",293.0,6.514285714285714,2.54,51.48,SODIUM SULPHATE,0.2,6.514285714285714,1908.6857142857143,130.7592,0.0,20.26770855602025,Medium,Neutral
8OKE,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.61,SODIUM CITRATE,1.6,7.8,2269.7999999999997,84.06269999999999,0.0,19.618348010459897,Medium,Neutral
8OKJ,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.04,39.57,SODIUM CITRATE,1.6,7.8,2269.7999999999997,80.7228,0.0,19.397049315171902,Medium,Neutral
8OKO,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.39,SODIUM CITRATE,1.6,7.8,2269.7999999999997,83.2034,0.0,19.60678659864728,Medium,Neutral
8OKP,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.6,SODIUM CITRATE,1.6,7.8,2269.7999999999997,84.042,0.0,19.613517094919278,Medium,Neutral
8OKQ,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.09,41.06,SODIUM CITRATE,1.6,7.8,2269.7999999999997,85.8154,0.0,19.645923614390615,Medium,Neutral
8OKY,"VAPOR DIFFUSION, HANGING DROP",293.0,8.2,1.92,36.0,TRIS/HCL,0.3,8.2,2402.6,69.12,0.0,18.74999023438009,Medium,Basic
8OLA,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.41,SODIUM CITRATE,1.6,7.8,2269.7999999999997,83.24459999999999,0.0,19.61649533179838,Medium,Neutral
8OLF,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.28,SODIUM CITRATE,1.6,7.8,2269.7999999999997,82.97680000000001,0.0,19.55338856631623,Medium,Neutral
