Entry ID,Crystallization Method,Temp (K),pH,Matthews Coefficient,Percent Solvent Content,Component_1_Name,Component_1_Conc,Component_1_pH,Component_2_Name,Component_2_Conc,Component_2_pH,Component_3_Name,Component_3_Conc,Component_3_pH,Component_4_Name,Component_4_Conc,Component_4_pH,Component_5_Name,Component_5_Conc,Component_5_pH,Component_6_Name,Component_6_Conc,Component_6_pH
8QMH,"VAPOR DIFFUSION, SITTING DROP",292.0,6.0,1.92,35.78,NACL,0.08 M,,NA CACODYLATE TRIHYDRATE,0.04 M,6.0,V/V MPD,45%,,SPERMINE TETRAHYDROCHLORIDE,0.012 M,,,,,,,
8SH6,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.15,42.8,CHES,100 mM,9.5,PEG 3000,29%,,,,,,,,,,,,,
8SH8,"VAPOR DIFFUSION, SITTING DROP",292.0,9.5,2.08,40.97,CHES,100 mM,9.5,PEG 3000,28%,,,,,,,,,,,,,
8VFL,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.23,44.86,24-30% PEG 4000,,,SODIUM CITRATE (,0.1M,5.6,AMMONIUM ACETATE,0.2M,,,,,,,,,,
8VFN,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.23,44.82,24-30% PEG 4000,,,SODIUM CITRATE (,0.1M,5.6,AMMONIUM ACETATE,0.2M,,,,,,,,,,
8VFO,"VAPOR DIFFUSION, HANGING DROP",298.0,,1.99,38.22,20-28% PEG 4000,,,SODIUM CITRATE,0.1M,,AMMONIUM ACETATE,0.2M,,,,,,,,,,
8VFW,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.34,47.35,26-32% PEG 4000,,,SODIUM CITRATE (,0.1M,5.2,AMMONIUM ACETATE,0.2M,,,,,,,,,,
8VG7,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.11,41.76,28-30% PEG 4000,,,SODIUM CITRATE,0.1M,5.8,AMMONIUM ACETATE,0.2M,,,,,,,,,,
8VG8,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.1,41.4,28-30% PEG 4000,,,SODIUM CITRATE,0.1M,5.8,AMMONIUM ACETATE,0.2M,,,,,,,,,,
8XIF,"VAPOR DIFFUSION, SITTING DROP",290.0,,2.12,42.04,MAGNESIUM FORMATE DIHYDRATE,0.1 M,,W/V POLYETHYLENE GLYCOL 3,15%,,350,,,,,,,,,,,
9AZX,"VAPOR DIFFUSION, HANGING DROP",293.0,8.0,2.19,44.0,TRIS-HCL,100 mM,,,,8.0,SODIUM ACETATE,200 mM,,W/V PEG4000,30%,,,,,,,
9BHS,"VAPOR DIFFUSION, SITTING DROP",291.0,,2.17,43.33,PEG2000 MONOETHYL ETHER,30%,,POTASSIUM BROMIDE,0.2 M,,,,,,,,,,,,,
9EN6,"VAPOR DIFFUSION, SITTING DROP",292.0,6.5,1.65,25.27,MAGNESIUM ACETATE TETRAHYDRATE,0.08M,,SODIUM CACODYLATE TRIHYDRATE,0.05M,6.5,V/W POLYETHYLENE GLYCOL 4,30%,,000,,,,,,,,
7H2T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H2U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H2V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H2W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.4,48.66,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H2X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H2Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.61,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H2Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H30,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.41,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H32,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.27,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H33,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.35,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H34,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.98,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H36,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H37,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.23,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H38,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.15,42.88,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H39,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.47,50.23,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.05,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3D,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.18,43.46,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3E,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.48,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3G,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.38,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.46,50.1,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3I,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3J,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.32,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3L,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.05,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.14,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3N,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.84,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3Q,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.43,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.49,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.54,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3T,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.6,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3U,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.16,43.1,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3V,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.97,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3W,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.41,48.94,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3X,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.17,43.34,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3Y,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.5,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H3Z,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.36,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H40,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.37,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H42,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.59,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H43,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.48,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H44,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.5,50.83,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H45,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.59,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H47,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.39,48.45,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H48,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.92,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4A,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.08,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4B,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.82,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4C,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.15,42.81,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4F,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4H,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.36,47.9,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4K,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.21,44.24,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4M,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.12,41.95,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4P,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.13,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4R,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H4S,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.28,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H50,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.14,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H51,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.4,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H52,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.06,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H53,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.38,48.22,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H54,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.16,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
7H55,"VAPOR DIFFUSION, SITTING DROP",293.15,6.05,2.37,48.17,MES,0.1 M,,,,6.05,PEG 20,16 %,,000,,,,,,,,
8I0J,"VAPOR DIFFUSION, HANGING DROP",291.15,7.5,2.21,44.26,PACT G10 20% W/V PEG3350;100MM BIS-TRIS PROPANE,,7.5,,,,,,,,,,,,,,,
8I12,"VAPOR DIFFUSION, HANGING DROP",291.0,6.5,2.02,39.0,JCSG4-60 0.1 M HEPES,,6.5,PEG 6000,30% (w/v),,,,,,,,,,,,,
8J3Y,"VAPOR DIFFUSION, SITTING DROP",283.0,,2.39,48.62,MAGNESIUM CHLORIDE,0.2 M,,BIS-TRIS,0.1 M,,,,6.5,W/V POLYETHYLENE GLYCOL 3,25%,,350,,,,,
8J5H,"VAPOR DIFFUSION, SITTING DROP",293.0,,2.08,40.97,CITRATE,0.03 M,,BIS-TRIS PROPANE,0.07 M,,PEG3350,28%,,,,,,,,,,
8OKG,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.85,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8TN6,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.5,50.73,AMMONIUM SULFATE,2M,,,,,,,,,,,,,,,,
8TNB,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.44,49.62,AMMONIUM SULFATE,2M,,,,,,,,,,,,,,,,
8TNC,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.5,50.88,AMMONIUM SULFATE,2M,,,,,,,,,,,,,,,,
8TND,"VAPOR DIFFUSION, HANGING DROP",298.0,,2.47,50.28,AMMONIUM SULFATE,2M,,,,,,,,,,,,,,,,
8YLA,"VAPOR DIFFUSION, HANGING DROP",289.0,,2.05,40.02,MAGNESIUM FORMATE AND 20% W/V PEG3350,200 mM,,,,,,,,,,,,,,,,
8YTS,"VAPOR DIFFUSION, HANGING DROP",288.0,3.5,,,CITRIC ACID,0.1 M,,,,3.5,PEG 3350,30%,,,,,,,,,,
8YU5,"VAPOR DIFFUSION, HANGING DROP",288.0,,2.2,44.03,HEPES,0.1M,,,,7.5,PEG 8000,20%,,ETHYLENE GLYCOL,8%,,,,,,,
9ART,"VAPOR DIFFUSION, SITTING DROP",298.0,,2.05,40.04,HEPES,0.1 M,7.5,W/V POLYETHYLENE GLYCOL 3,12 %,,350,,,,,,,,,,,
8FKC,"VAPOR DIFFUSION, SITTING DROP",293.0,6.5,2.19,43.93,AMMONIUM SULFATE,0.2M,,MES,0.1M,,,,6.5,W/V,30%,,PEG 8000,,,,,
8G90,"VAPOR DIFFUSION, HANGING DROP",294.0,,1.86,33.77,BIS-TRIS,0.1 M,6.5,PEG 2000 MME,28% (w/v),,,,,,,,,,,,,
8G91,"VAPOR DIFFUSION, HANGING DROP",294.0,,2.38,48.27,AMMONIUM ACETATE,0.1 M,,BIS-TRIS,0.1 M,5.5,PEG 10000,17%,,,,,,,,,,
8GC6,"VAPOR DIFFUSION, SITTING DROP",298.0,,2.25,45.4,SODIUM/POTASSIUM PHOSPHATE,1 M,,,,8.2,,,,,,,,,,,,
8GF3,"VAPOR DIFFUSION, SITTING DROP",293.0,8.0,2.5,50.86,SODIUM FORMATE,4 M,,,,,,,,,,,,,,,,
8JOR,"VAPOR DIFFUSION, HANGING DROP",293.0,,2.3,46.56,PEG 3350,21%,,LITHIUM CHLORIDE,300mM,,,,,,,,,,,,,
8K4I,"VAPOR DIFFUSION, HANGING DROP",291.15,,2.1,41.53,PEG3350,20%,,LITHIUM ACETATE DIHYDRATE,0.2M,,,,,,,,,,,,,
8QJZ,VAPOR DIFFUSION,293.0,7.5,2.97,58.57,"MORPHEUS III (G7)
1.2 % CHOLIC ACID DERIVATIVES MIX 
0.1 M BUFFER SYSTEM 2 7.5 
50 % PRECIPITANT MIX 3",,,,,,,,,,,,,,,,,
8RHR,"VAPOR DIFFUSION, SITTING DROP",291.2,,2.54,51.54,1 UL OF PROTEIN SOLUTION (10 UG/UL) WAS MIXED WITH 1 UL RESERVOIR SOLUTION (0.17 M AMMONIUM SULFATE,,,PEG4000,25.5% (w/v),,GLYCEROL); SOAKING WAS PERFORMED FOR APPR. 22 HOURS AT 291.2K WITH 1 UL OF STOCK SOLUTION (30 MM) ADDED TO THE SITTING DROP WELL,15% (v/v),,,,,,,,,,
8RUE,"VAPOR DIFFUSION, HANGING DROP",292.0,9.0,2.56,52.01,PEG 3350,22%,,MGCL2,0.2 M,,BICINE,0.1 M,9.0,V/V ISOPROPANOL,1%,,,,,,,
8T41,"VAPOR DIFFUSION, SITTING DROP",293.0,8.5,2.43,49.45,PEG3350,25%,,(NH4)2SO4,0.2M,,TRIS-HCL,0.1M,,,,,,,,,,
8VAW,"VAPOR DIFFUSION, SITTING DROP",293.0,7.5,2.19,43.78,SODIUM CHLORIDE,2.5 M,,TRIS,50 mM,7.5,MAGNESIUM CHLORIDE.,0.25 M,,,,,,,,,,
8VAX,"VAPOR DIFFUSION, SITTING DROP",293.0,8.5,2.2,44.06,W/V 1,35%,,6-HEXANEDIOL,,,TRIS,50 mM,8.5,,,,,,,,,
9BCB,"VAPOR DIFFUSION, SITTING DROP",293.0,5.0,2.07,40.72,SODIUM MALONATE,0.2 M,,,,5.0,,,,,,,,,,,,
8IZC,"VAPOR DIFFUSION, HANGING DROP",293.0,,2.54,51.48,SODIUM SULPHATE,0.2 M,,SODIUM CITRATE,0.100 M,5.5,PEG3350,18%,,,,,,,,,,
8OKE,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.61,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OKJ,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.04,39.57,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OKO,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.39,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OKP,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.6,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OKQ,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.09,41.06,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OKY,"VAPOR DIFFUSION, HANGING DROP",293.0,8.2,1.92,36.0,TRIS/HCL,0.3 M,8.2,NA2SO4,0.6 M,,ZNAC,0.6 mM,,,,,,,,,,
8OLA,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.41,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OLF,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.06,40.28,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OLH,"VAPOR DIFFUSION, HANGING DROP",291.0,,1.93,36.13,1:1 RATIO OF 15 MG/ML PROTEIN SOLUTION WITH A PRECIPITANT SOLUTION CONTAINING 20% PEG 6000,,,100 MM HEPES,,7.0,,,,,,,,,,,,
8OLI,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.07,40.47,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
8OLK,"VAPOR DIFFUSION, HANGING DROP",291.0,7.8,2.08,40.85,SODIUM CITRATE,1.6 M,,TRIS-H2SO4,50 mM,,,,,,,,,,,,,
